order,file,alt
1,/assets/images/gallery/01.webp,Lakefront aerial view of Chateau Chamonix and private shoreline
2,/assets/images/gallery/02.webp,Lower-level living area with Lake Tahoe views
3,/assets/images/gallery/03.webp,Walkout patio and lakefront lawn seating
4,/assets/images/gallery/04.webp,Open living and dining area with lake views
5,/assets/images/gallery/05.webp,Primary suite with lake-view balcony
6,/assets/images/gallery/06.webp,Covered balcony overlooking Lake Tahoe
7,/assets/images/gallery/07.webp,Living room with brick fireplace and open layout
8,/assets/images/gallery/08.webp,Kitchen with wood cabinetry and granite counters
9,/assets/images/gallery/09.webp,"Kitchen entry with wood cabinetry, tile flooring and glass-paneled door"
10,/assets/images/gallery/10.webp,Powder room with vintage wallpaper and pedestal sink
11,/assets/images/gallery/11.webp,Aerial view of Chateau Chamonix lakefront community
12,/assets/images/gallery/12.webp,Lakefront lawn with hammock and Tahoe views
13,/assets/images/gallery/13.webp,Primary bedroom with pine bed and ensuite access
14,/assets/images/gallery/14.webp,Primary bathroom with granite vanity and shower
15,/assets/images/gallery/15.webp,Aerial view of lakefront condo building and shoreline
16,/assets/images/gallery/16.webp,Wide Lake Tahoe aerial with boat and shoreline community
17,/assets/images/gallery/17.webp,Boat on turquoise Lake Tahoe with waterfront community beyond
18,/assets/images/gallery/18.webp,Top-down aerial view of private beach and building
19,/assets/images/gallery/19.webp,Bedroom and living area with lake views through sliding doors
20,/assets/images/gallery/20.webp,Lower-level living and sleeping area with kitchenette nearby
21,/assets/images/gallery/21.webp,Guest bathroom with gold-framed shower and vanity
22,/assets/images/gallery/22.webp,Lower-level kitchenette with cooktop and sink
23,/assets/images/gallery/23.webp,Top-down aerial view of community pool
24,/assets/images/gallery/24.webp,Guest bedroom with queen bed and mounted television
25,/assets/images/gallery/25.webp,Bathroom vanity with mirror and shower
26,/assets/images/gallery/26.webp,In-unit laundry room with washer and dryer
27,/assets/images/gallery/27.webp,Covered balcony seating with panoramic lake views
28,/assets/images/gallery/28.webp,Lakefront lawn with hammock between trees
29,/assets/images/gallery/29.webp,Walkout patio and lawn with outdoor seating
